grade1,grade2,grade3,attendance_rate,study_hours,passed
37,68,38,0.96,9.3,1
74,47,99,0.8,11.7,1
76,70,73,0.58,6.8,1
69,99,41,0.81,2.8,1
83,56,61,0.55,11.3,1
75,44,63,0.98,11.8,1
76,66,62,0.89,11.2,1
44,87,93,0.66,10.6,1
48,34,77,0.87,1.9,0
55,36,45,0.65,10.4,0
81,70,79,0.44,11.5,1
51,39,52,0.82,7.1,0
50,91,55,0.64,9.5,1
80,55,83,0.96,8.3,1
67,97,73,0.58,4.2,1
49,53,66,0.91,7.5,0
58,70,38,0.81,10.8,1
80,94,42,0.91,6.5,1
33,46,89,0.58,7.5,0
84,53,31,0.68,6.8,0
57,56,89,0.89,4.1,1
33,36,86,0.79,8.1,0
51,41,72,0.62,6.6,0
74,32,48,0.71,3.6,0
96,39,40,1.0,10.8,0
95,62,76,0.85,11.5,1
63,75,92,0.77,1.6,1
84,88,36,0.9,7.8,1
30,81,60,0.67,5.6,0
67,35,84,0.97,6.8,1
35,31,54,0.73,5.1,0
54,58,59,0.6,6.2,0
46,69,65,0.45,4.6,0
90,90,79,0.63,2.3,1
41,97,43,0.74,4.3,1
35,97,58,0.82,8.4,1
56,58,56,0.93,1.6,0
37,91,79,0.97,5.2,1
94,89,65,0.46,1.5,0
86,70,63,0.76,4.9,1
69,94,50,0.8,2.0,1
43,93,67,0.5,4.7,1
64,92,79,0.73,10.2,1
77,77,66,0.6,7.7,1
85,49,48,0.45,8.5,1
78,66,30,0.44,6.5,0
42,93,69,0.86,11.1,1
90,34,84,0.77,7.0,1
78,63,55,0.83,2.1,1
75,68,72,0.81,11.3,1
91,96,88,0.48,2.5,0
37,91,80,0.49,12.0,1
72,53,44,0.55,5.8,0
49,32,37,0.64,1.8,0
68,96,43,0.96,10.5,1
78,79,36,0.8,2.0,1
93,58,47,0.55,2.9,0
91,61,41,0.43,5.6,1
83,68,31,0.81,8.4,1
38,38,79,0.78,2.3,0
66,43,50,0.81,7.8,0
78,97,36,0.56,9.6,1
70,93,41,0.71,2.4,1
46,49,86,0.62,8.1,0
50,57,52,0.89,11.5,0
80,43,59,0.44,11.6,0
88,73,87,0.57,2.8,0
68,68,81,0.76,9.4,1
84,57,85,0.52,10.3,0
70,93,39,0.8,10.8,1
68,61,48,0.48,4.6,0
42,38,48,0.41,4.0,0
93,57,88,0.92,1.5,1
40,46,73,0.6,5.4,0
48,84,88,0.49,2.4,0
40,39,33,0.5,9.6,0
75,35,94,0.93,2.6,1
74,77,42,0.79,10.0,1
30,96,96,0.97,2.2,1
69,70,41,0.88,6.3,0
48,89,84,0.86,5.2,1
90,71,90,0.7,7.6,1
41,57,70,0.89,6.7,0
90,42,65,0.65,7.6,0
62,44,31,0.9,1.0,0
74,65,51,0.85,2.4,1
98,44,51,0.81,6.7,1
37,85,70,0.6,3.5,1
54,33,43,0.78,1.8,0
75,81,64,0.7,3.4,1
59,39,79,0.68,9.6,0
76,74,38,0.99,7.0,1
78,58,88,0.7,3.1,1
76,82,85,0.42,1.2,0
47,58,39,0.78,4.9,0
95,52,54,0.84,4.9,1
97,86,74,0.93,9.1,1
62,79,40,0.78,11.1,1
65,50,38,0.41,5.1,0
48,72,36,0.47,8.6,0
57,39,63,0.5,8.0,0
69,59,49,0.53,5.6,0
44,80,34,0.88,1.7,0
70,62,84,0.59,6.2,1
68,47,44,0.59,4.9,0
31,51,77,0.85,7.1,0
92,93,33,0.65,2.4,0
58,50,50,0.44,9.0,0
95,30,38,0.75,9.7,0
80,44,95,0.48,5.3,1
39,65,64,0.74,2.9,0
43,76,80,0.87,7.9,1
80,83,66,0.96,11.5,1
68,61,35,0.44,8.7,0
57,87,80,0.58,2.4,0
32,75,95,0.79,5.4,1
99,83,46,0.59,11.1,0
56,62,94,0.67,8.0,1
31,68,38,0.41,2.6,0
67,52,42,0.82,9.0,0
32,72,87,0.93,4.9,1
45,84,59,0.99,6.4,1
69,31,60,0.9,5.6,1
31,95,52,0.42,9.0,0
70,67,92,0.79,3.4,1
41,58,57,0.7,5.3,0
64,96,88,0.96,9.2,1
94,65,39,0.94,8.8,1
84,58,55,0.99,3.2,1
74,66,46,0.92,4.9,1
91,74,69,0.73,1.2,1
78,45,97,0.83,6.8,1
54,60,52,0.98,4.1,0
52,63,64,0.75,1.1,0
53,79,38,0.9,5.7,0
67,94,74,0.97,11.2,1
57,91,66,0.74,11.2,1
50,72,98,0.5,5.1,1
83,85,48,0.49,5.9,1
47,44,56,0.47,3.7,0
65,77,42,0.69,1.8,0
74,78,86,0.69,8.6,1
82,73,89,0.77,9.8,1
59,39,41,0.69,10.7,0
89,49,38,0.98,11.3,0
61,99,56,0.57,11.1,1
96,37,92,0.92,1.3,1
96,74,58,0.46,11.8,0
57,63,51,0.76,5.2,0
73,80,48,0.79,10.7,1
70,33,67,0.86,5.8,0
92,68,68,0.7,5.6,0
52,53,44,0.52,1.1,0
77,84,83,0.62,1.6,0
61,55,61,0.56,8.4,0
86,54,75,0.65,11.3,1
62,65,90,0.72,3.5,1
53,87,81,0.78,2.0,1
68,41,63,0.91,3.4,0
63,30,64,0.95,3.3,0
85,79,99,0.68,4.2,1
57,54,66,0.45,2.0,0
66,34,90,0.88,3.6,1
36,97,78,0.69,11.1,1
97,35,38,0.73,10.8,0
66,55,48,0.76,4.5,0
85,84,57,0.8,12.0,1
94,68,55,0.93,4.3,1
94,38,67,0.97,8.9,1
76,74,69,0.96,8.1,1
49,43,54,0.89,1.7,0
48,84,98,0.93,4.8,1
58,38,52,0.43,11.5,0
89,44,94,0.91,1.6,1
47,66,51,0.44,2.9,0
64,79,93,0.85,11.7,1
72,50,97,0.5,1.4,1
40,86,87,0.62,5.9,0
78,48,57,0.51,11.1,1
67,87,97,0.67,11.4,1
93,35,33,0.65,11.8,0
98,33,30,0.43,6.3,0
37,72,55,0.9,2.0,0
63,71,62,0.91,9.5,1
77,32,56,0.87,8.8,0
85,30,71,0.91,7.4,1
94,84,98,0.85,10.8,1
60,44,93,0.96,11.0,1
33,76,54,0.75,8.5,0
79,75,33,0.75,2.2,1
98,87,41,0.92,2.1,1
59,68,87,0.61,5.5,1
88,32,40,0.43,4.2,0
96,59,88,0.85,2.5,1
74,64,65,0.55,7.7,1
33,86,51,0.68,8.5,0
55,58,94,0.54,8.7,1
56,79,79,0.9,2.9,1
75,91,33,0.97,4.4,1
93,81,81,0.43,3.2,1
80,43,72,0.54,7.6,0
79,64,75,0.51,7.2,1
35,57,33,0.8,6.5,0
88,87,42,0.66,4.3,1
44,59,67,0.67,3.6,0
59,36,74,0.49,10.8,0
71,68,54,0.65,1.5,0
66,98,96,0.58,8.2,1
71,64,84,0.77,1.2,1
64,81,68,0.53,3.1,1
35,43,94,0.77,4.2,0
97,92,31,0.63,10.8,1
47,65,98,0.61,2.5,0
58,53,91,0.58,11.3,0
88,69,75,0.8,10.0,1
76,58,60,0.74,8.5,1
46,82,64,0.91,5.5,1
51,51,74,0.54,11.0,0
97,44,83,0.42,6.8,1
98,98,98,0.51,5.1,1
66,93,58,0.61,7.4,1
78,33,37,0.51,3.6,0
42,47,83,0.45,4.0,0
63,71,36,0.67,11.1,0
82,59,52,0.81,9.7,1
80,44,61,0.85,6.6,1
32,99,91,0.64,5.6,1
71,84,74,0.69,9.9,1
61,82,97,0.85,7.3,1
80,45,59,0.61,5.6,0
75,63,68,0.87,6.7,1
50,56,34,0.98,3.6,1
73,42,96,0.93,3.2,1
40,56,51,0.67,11.9,0
97,98,57,0.75,11.7,1
30,60,51,0.83,5.6,0
92,32,58,0.61,6.7,1
53,59,72,0.88,10.1,1
42,50,71,0.66,9.0,0
40,35,89,0.91,2.1,0
80,61,97,0.55,5.1,1
46,71,88,0.41,3.8,1
53,91,35,0.78,11.9,0
48,61,57,0.67,9.2,0
66,68,60,0.44,1.5,0
37,93,68,0.69,10.9,1
57,59,79,0.5,11.2,1
34,92,66,0.78,4.7,1
46,60,44,0.67,8.1,0
65,69,80,0.5,8.5,1
48,62,99,0.65,9.0,1
93,92,52,0.54,8.6,1
40,54,54,0.79,7.2,0
83,65,75,0.58,11.5,1
74,53,52,0.89,6.6,1
76,87,39,0.41,2.2,0
41,68,61,0.64,1.9,0
50,75,80,0.77,1.2,1
40,39,70,0.41,5.7,0
34,61,94,0.53,4.0,1
85,65,94,0.6,10.8,0
49,57,69,0.41,10.5,0
70,45,47,0.73,10.2,1
75,45,65,0.78,10.5,1
41,47,60,0.54,4.3,0
99,37,83,0.73,5.7,1
46,99,92,1.0,4.4,1
48,30,30,0.93,1.9,0
55,91,81,0.44,11.2,1
77,67,86,0.48,7.8,0
81,74,38,0.7,2.5,0
99,87,85,0.55,3.3,1
84,30,76,0.45,6.0,1
62,61,32,0.55,1.6,0
91,37,31,0.44,4.0,0
52,69,83,0.72,8.7,1
44,85,66,0.69,11.1,1
56,92,85,0.4,11.2,1
93,65,60,0.69,6.7,1
80,86,41,0.71,4.4,1
82,74,87,0.76,11.1,1
80,31,96,0.98,9.7,1
76,97,55,0.99,7.5,1
33,79,41,0.72,10.2,0
36,58,45,0.91,6.0,0
64,39,82,0.45,2.2,0
77,56,78,0.72,11.3,1
74,44,78,0.81,6.9,1
48,89,36,0.74,8.6,0
92,60,44,0.54,5.3,1
67,50,65,0.44,2.5,1
96,89,44,0.63,4.0,1
88,87,91,0.79,1.5,1
98,70,47,1.0,2.0,1
42,75,75,0.54,3.3,0
76,74,90,0.95,7.2,1
90,55,72,0.44,11.9,1
60,80,73,0.96,10.3,1
51,65,95,0.9,1.9,1
72,81,84,0.41,10.3,1
96,80,68,0.58,6.9,1
83,32,34,0.43,8.3,0
39,43,86,1.0,2.4,0
71,78,44,0.66,5.3,1
93,30,45,0.8,10.7,0
50,86,86,0.54,5.7,1
95,46,54,0.96,2.4,1
70,79,51,0.56,4.4,1
53,43,60,0.56,3.4,0
64,88,63,0.59,8.6,1
85,32,45,0.68,11.0,0
59,69,99,0.41,9.1,1
86,95,88,0.76,10.3,1
76,63,44,0.42,9.9,1
64,38,42,0.72,1.2,0
48,50,53,0.67,2.4,0
37,54,42,0.55,5.7,0
55,73,94,0.6,2.2,0
59,54,65,0.82,9.1,0
36,38,78,0.41,1.8,0
96,91,77,0.59,5.6,1
94,55,72,0.81,5.3,1
65,86,35,0.49,7.0,1
54,66,97,0.74,7.9,1
66,45,43,0.5,11.4,0
30,66,59,0.49,4.0,0
44,53,37,0.86,8.3,1
66,55,83,0.56,1.4,1
42,49,95,0.63,1.0,0
37,38,33,0.84,1.3,0
34,58,89,0.51,5.9,1
89,60,82,0.72,7.1,1
30,48,44,0.95,1.1,0
65,49,30,0.73,5.4,0
64,56,51,0.43,1.4,0
95,73,44,0.75,8.2,1
92,64,51,0.45,7.9,1
52,51,79,0.57,9.6,1
38,44,77,0.91,7.0,0
63,42,80,0.41,7.9,1
75,33,46,0.45,4.1,0
33,85,80,0.62,1.9,0
59,52,66,1.0,9.1,0
32,63,78,0.58,7.7,0
43,46,88,0.49,11.3,0
89,57,39,0.73,11.9,1
74,43,59,0.71,10.3,0
63,63,50,0.67,11.8,0
74,86,63,0.97,8.1,1
90,84,79,0.57,2.0,0
45,95,76,0.58,2.0,0
95,66,35,0.48,9.9,1
69,97,79,0.82,3.6,1
46,55,92,0.59,1.7,0
63,90,41,0.88,6.2,1
45,96,70,0.98,4.5,1
89,81,60,0.43,7.5,1
95,47,31,1.0,7.6,1
95,82,45,0.55,8.5,0
42,92,30,0.65,7.3,0
85,82,33,0.87,5.2,1
60,56,76,0.8,1.3,1
63,60,94,0.87,11.0,1
68,30,81,0.68,4.6,0
96,35,76,0.95,6.6,1
37,40,79,0.87,7.1,0
84,63,74,0.59,4.5,1
56,92,71,0.97,4.4,1
82,82,85,0.98,3.9,1
68,47,86,0.65,3.7,1
94,50,62,0.79,1.3,1
46,48,57,0.89,11.5,1
59,33,73,0.89,7.5,0
82,58,85,0.41,2.2,0
42,54,73,0.78,7.5,0
50,85,63,0.98,3.6,1
48,92,43,0.54,4.4,1
82,56,97,0.88,9.8,1
48,89,58,0.72,10.7,1
86,78,46,0.53,8.7,1
54,94,38,0.43,11.3,1
60,67,56,0.86,11.0,1
84,81,78,0.59,7.1,1
52,30,66,0.63,11.0,0
61,69,57,0.69,7.0,1
91,50,79,0.7,2.1,0
39,44,84,0.52,10.1,0
83,79,33,0.8,2.4,1
81,77,48,0.82,4.5,1
49,61,66,0.49,5.2,0
61,78,33,0.72,9.9,1
43,97,66,0.77,1.9,1
79,74,80,0.51,5.9,1
57,61,61,0.94,5.8,0
82,33,74,0.69,7.4,1
53,94,41,0.47,4.9,1
51,94,70,0.6,7.3,1
59,47,85,0.69,11.8,1
92,83,43,0.41,1.8,0
33,76,83,0.42,10.6,1
88,35,92,0.43,4.4,1
37,95,94,0.72,6.1,1
41,38,87,0.6,9.2,0
60,97,50,0.94,11.0,1
63,52,33,0.74,1.1,0
78,72,75,0.86,8.3,1
86,80,41,0.81,1.8,1
55,54,59,0.71,6.8,0
47,64,89,0.85,9.2,1
67,46,94,0.73,2.9,1
79,47,43,0.63,9.4,0
37,56,73,0.66,4.4,0
70,44,55,0.9,7.7,0
35,98,45,0.74,8.2,0
98,44,36,0.63,8.1,0
73,71,61,0.51,1.2,0
93,63,45,0.7,2.7,0
58,77,91,0.55,10.4,0
57,37,59,0.97,11.3,0
40,39,41,0.69,7.2,0
94,34,96,0.41,7.6,1
48,77,75,0.46,9.3,1
38,55,72,0.57,5.5,0
56,52,84,0.46,4.6,1
63,91,74,0.94,9.5,1
73,42,89,0.91,1.3,1
97,38,61,0.98,10.7,1
44,49,37,0.82,5.8,0
80,86,91,0.79,6.5,1
42,53,49,0.95,8.0,0
78,62,47,0.97,4.0,1
99,49,35,0.93,7.6,1
85,89,58,0.92,8.6,1
80,77,33,0.8,2.3,1
66,93,72,0.4,6.7,1
46,59,63,0.66,4.6,0
87,46,62,0.78,7.1,1
58,43,44,0.73,1.2,0
62,48,69,0.89,9.2,0
89,88,34,0.89,2.9,1
84,96,79,0.76,8.6,1
39,73,95,0.41,9.5,1
76,61,83,0.62,9.3,1
52,40,75,0.54,10.0,0
50,31,40,0.6,4.4,0
42,97,78,0.77,11.6,1
62,46,52,0.44,1.3,0
53,69,84,0.41,6.3,1
40,75,34,0.66,4.0,0
46,33,93,0.88,9.1,0
97,67,64,0.42,9.9,1
76,92,98,0.91,10.0,1
54,58,83,0.63,4.3,1
50,48,32,0.47,4.0,0
41,58,35,0.74,8.4,0
66,64,85,0.97,11.2,1
71,99,31,0.73,3.8,1
46,52,67,0.81,11.0,0
77,75,85,0.89,7.5,1
57,73,34,0.88,9.1,0
70,77,75,0.44,5.8,1
76,81,40,0.84,9.9,1
47,37,94,0.97,11.7,0
42,84,39,0.82,2.9,0
42,95,70,0.9,5.2,1
60,69,73,0.69,10.5,0
31,60,62,0.59,2.9,0
45,77,85,0.81,5.5,1
38,90,41,0.7,2.8,0
67,81,31,0.94,8.1,0
83,67,30,0.98,3.6,1
85,65,94,0.89,5.2,1
74,84,62,1.0,6.4,1
63,42,65,0.61,4.3,0
38,66,50,0.94,8.5,0
37,76,65,0.6,2.2,0
36,51,55,0.47,10.7,0
65,68,76,0.77,6.3,1
47,87,30,0.67,7.3,0
32,59,67,0.95,7.8,0
57,47,43,0.7,1.7,0
99,47,75,0.96,9.3,1
73,68,71,0.45,11.4,1
50,55,36,0.9,6.7,0
57,36,84,0.86,5.3,1
83,98,85,0.83,9.6,1
83,94,92,0.61,8.9,1
94,75,53,0.87,8.2,1
50,47,33,0.69,11.6,0
42,42,71,0.83,7.4,0
86,54,99,0.73,3.7,1
78,37,57,0.49,1.3,0
83,61,69,0.44,6.0,0
39,46,80,0.62,8.2,0
82,77,58,0.96,2.9,1
73,92,71,0.72,1.3,1
76,69,98,0.88,11.0,1
82,44,34,0.75,4.3,1
75,35,70,0.97,6.1,0
42,92,90,0.62,2.0,0
66,37,84,0.43,5.2,1
53,61,57,0.87,5.7,0
31,74,70,0.82,10.9,1
43,81,38,0.72,10.5,1
39,42,58,0.6,3.1,0
64,53,67,0.51,7.1,0
54,69,91,0.69,9.0,1
32,43,83,0.8,4.2,0
46,99,81,0.75,5.3,1
41,91,63,0.66,11.8,1
83,90,66,0.72,9.4,1
53,30,78,0.46,5.8,0
58,95,71,0.82,6.9,1
72,61,43,0.84,7.9,0
54,42,62,0.41,6.5,0
89,62,46,0.56,5.5,1
94,61,61,0.46,5.0,1
57,85,97,1.0,2.9,1
45,53,68,0.76,11.7,1
76,33,39,0.68,2.0,0
87,52,53,0.68,7.6,1
56,58,87,0.98,11.6,1
82,50,98,0.8,5.1,1
71,59,93,0.5,3.8,1
88,49,48,0.67,11.5,1
76,45,37,0.86,9.8,0
63,96,69,0.65,8.2,1
66,78,42,0.59,7.7,1
35,87,56,0.99,5.0,0
36,73,31,0.96,8.1,0
54,54,45,0.96,9.0,1
62,52,43,0.48,1.3,0
84,88,46,0.54,2.3,0
87,30,89,0.67,4.5,1
36,44,99,0.9,4.6,0
86,81,46,0.84,10.9,1
41,87,74,0.91,8.5,1
45,70,67,0.95,5.1,1
72,73,93,0.87,9.9,1
36,33,35,0.56,4.6,0
80,97,89,0.57,11.9,1
61,36,78,0.61,9.6,0
37,75,50,0.58,9.9,0
74,38,52,0.55,3.9,0
88,62,86,0.85,2.6,1
33,62,93,0.42,5.3,1
96,33,58,0.84,4.7,1
58,94,56,0.89,9.5,1
58,63,35,0.44,2.9,0
57,93,50,0.44,6.8,1
73,54,70,0.57,7.9,1
33,84,34,0.52,5.2,0
38,38,44,0.75,3.2,1
34,46,50,0.81,10.9,0
85,50,87,0.78,2.5,1
79,89,33,0.61,4.3,1
44,42,98,0.7,9.3,1
61,32,36,0.78,7.7,0
57,97,64,0.47,9.0,1
51,33,65,0.54,9.9,0
46,36,44,0.93,10.8,0
88,55,31,0.61,4.4,0
86,53,86,0.88,6.2,1
55,39,34,0.55,8.6,0
54,42,61,0.42,9.7,0
39,73,70,0.7,7.4,1
74,68,71,0.94,6.7,1
40,48,94,0.89,8.6,1
82,80,69,0.55,5.2,0
97,48,67,0.95,10.8,1
57,81,71,0.69,3.3,1
94,76,66,0.43,10.7,1
78,59,85,0.42,8.1,1
76,75,84,0.69,7.6,1
81,50,83,0.73,6.2,1
83,77,51,0.45,2.7,0
89,91,56,0.95,10.5,1
86,87,76,0.83,1.6,1
76,47,67,0.88,4.0,1
60,88,68,0.75,2.2,1
75,77,44,0.8,2.2,1
55,92,95,0.63,5.3,1
34,41,90,0.81,2.8,0
81,63,89,0.99,7.4,1
83,90,37,0.79,7.9,1
62,82,73,0.6,10.7,1
79,54,72,0.57,4.3,1
67,91,35,0.98,4.4,1
56,33,56,0.51,3.7,0
44,42,74,0.88,9.6,0
90,71,52,0.68,5.7,1
50,78,42,0.67,7.1,0
75,85,97,0.85,5.1,1
98,76,93,0.49,2.7,0
35,37,54,0.68,2.1,0
67,84,81,0.42,10.6,1
91,47,77,0.8,3.9,1
91,64,90,0.44,11.4,0
75,61,46,0.45,11.4,1
42,53,69,0.91,6.3,0
32,36,98,0.67,11.5,0
35,42,55,0.52,1.3,0
37,98,85,0.76,2.0,1
73,71,69,0.71,3.7,1
62,60,97,0.65,3.3,1
79,55,37,0.94,3.8,1
40,61,74,0.85,6.0,0
57,81,46,0.49,1.7,0
99,49,70,0.74,7.1,1
70,69,38,0.45,4.4,0
45,88,99,0.55,1.8,0
97,43,53,0.95,9.3,1
77,73,40,0.68,8.2,1
85,77,64,0.94,9.7,1
93,72,58,0.5,11.3,1
88,45,37,0.52,7.4,0
91,64,46,0.61,9.7,1
40,82,41,0.62,3.2,0
47,63,79,0.85,5.5,1
48,32,53,0.76,6.8,0
84,97,66,0.73,7.0,1
55,34,40,0.76,8.9,0
35,39,88,0.84,9.8,0
33,81,84,0.94,8.3,1
58,58,56,0.65,1.5,0
88,60,96,0.88,4.9,1
46,95,89,0.7,7.3,0
72,98,31,0.83,6.6,1
95,66,97,0.92,1.5,1
63,56,47,0.42,11.8,0
37,62,49,0.73,11.5,0
42,97,92,0.99,9.5,1
37,88,31,0.7,1.6,0
94,93,71,0.92,5.7,1
72,73,57,0.51,5.5,1
68,78,58,0.76,7.1,1
88,82,98,0.92,1.6,1
73,78,57,0.66,5.7,1
38,95,89,0.69,9.3,1
66,92,34,0.45,12.0,0
65,54,44,0.43,7.5,0
57,33,61,0.68,11.3,0
71,80,81,0.91,12.0,1
72,40,66,0.96,5.8,0
71,46,44,0.8,8.4,1
95,95,70,0.9,3.3,1
84,99,33,0.84,6.2,1
77,98,82,0.82,1.9,1
51,58,56,0.86,1.3,0
56,49,50,0.7,10.8,0
96,56,89,0.67,10.4,1
42,37,93,0.5,4.4,0
74,90,76,0.91,6.0,1
39,57,83,0.43,6.4,0
38,99,60,0.56,6.7,1
83,32,46,0.71,2.5,0
56,98,79,0.98,9.5,1
63,36,36,0.87,4.8,0
30,89,57,0.62,1.3,0
61,33,39,0.83,8.4,0
96,34,56,0.96,10.1,1
49,40,42,0.72,11.1,0
64,44,95,0.68,8.4,1
46,93,89,0.73,3.1,1
47,42,72,0.59,7.5,0
74,36,98,0.94,11.0,1
82,35,92,0.88,4.9,1
97,85,99,0.82,11.5,1
94,93,94,0.75,2.1,1
30,79,96,0.98,9.0,1
87,59,83,0.58,2.3,0
55,51,65,0.57,9.8,0
49,54,44,0.55,2.1,0
39,57,47,0.85,4.6,1
88,68,33,0.88,9.5,1
70,96,40,0.76,6.1,1
34,34,35,0.79,10.7,0
94,94,80,0.61,5.4,0
46,44,87,0.42,11.9,0
51,96,89,0.55,1.2,1
70,69,47,0.75,8.7,1
97,98,96,0.89,11.1,1
98,72,46,0.87,6.9,1
40,30,63,0.51,11.9,0
85,51,59,0.43,8.8,1
80,91,48,0.91,5.7,1
50,55,38,0.45,6.7,0
55,47,69,0.64,10.7,0
48,77,73,0.46,11.5,1
89,38,88,0.74,7.1,1
76,30,54,0.62,4.4,0
55,38,82,0.52,3.6,0
69,52,77,0.76,6.2,1
34,74,82,0.62,4.3,1
50,31,78,0.5,5.6,0
33,43,72,0.82,10.2,0
52,67,48,0.9,6.2,0
44,69,95,0.56,8.0,1
37,92,63,0.51,2.0,0
70,45,83,0.45,9.4,1
48,35,30,0.72,6.3,0
75,32,84,0.9,5.0,1
57,43,44,0.55,7.7,0
97,95,44,0.68,2.1,0
44,96,52,0.5,5.6,1
66,60,95,0.64,9.9,1
30,62,75,0.41,3.9,0
96,30,38,0.95,11.1,0
53,73,95,0.81,7.6,1
56,44,95,0.6,6.9,1
69,66,47,0.93,5.4,1
92,56,46,0.51,9.2,1
90,77,63,0.45,7.2,1
65,56,98,0.97,9.8,1
53,41,93,0.59,4.6,1
53,96,73,0.96,8.7,1
33,59,58,0.78,11.4,0
96,95,91,0.99,4.1,1
63,36,45,0.85,11.8,1
86,63,81,0.46,5.5,1
78,61,31,0.91,1.4,0
82,68,90,0.49,4.9,1
52,72,33,0.82,2.6,0
98,72,81,0.7,4.3,1
82,32,70,0.82,2.1,1
91,75,81,0.86,3.0,1
70,61,60,0.88,2.4,1
86,72,55,0.9,1.5,1
89,32,56,0.91,4.3,0
83,92,80,0.65,11.4,1
99,69,77,0.93,11.4,1
86,47,40,0.83,10.3,1
39,96,37,0.9,1.1,0
69,91,41,0.99,1.3,1
36,39,74,0.47,1.1,0
67,81,63,0.62,5.0,1
90,75,76,0.88,11.8,1
32,84,50,0.45,10.9,0
80,75,70,0.72,3.8,1
76,89,51,0.92,5.5,1
97,55,50,0.41,10.1,0
67,56,57,0.96,9.3,0
65,67,96,0.99,2.5,1
70,51,43,0.59,2.2,0
98,55,81,0.86,7.0,1
42,98,72,0.48,2.1,0
87,64,48,0.86,10.1,1
79,95,56,0.69,3.8,1
59,80,47,0.92,3.1,1
91,47,42,0.53,3.0,0
54,72,30,0.8,1.5,0
56,41,63,0.87,8.1,0
80,32,42,0.52,2.8,0
86,36,80,0.89,3.6,1
76,35,30,0.97,9.3,0
68,74,57,0.77,1.6,1
45,68,61,0.87,3.2,0
51,80,84,0.72,2.6,1
83,38,55,0.76,1.1,0
50,52,43,0.41,6.9,0
45,41,97,0.71,3.1,1
88,91,92,0.75,8.0,1
60,69,43,0.8,6.5,0
71,83,56,0.5,8.3,1
61,36,70,0.54,11.8,0
88,46,32,0.85,3.4,0
63,79,88,0.5,8.3,1
38,53,52,0.65,10.2,0
40,31,47,0.55,11.5,0
39,62,70,0.73,7.8,0
46,50,37,0.99,2.4,0
97,82,61,0.91,1.6,1
77,75,70,0.56,4.1,1
81,74,74,0.62,11.2,1
54,38,38,0.95,6.9,0
50,35,77,0.94,7.4,0
94,80,53,0.5,7.7,0
92,64,73,0.9,4.7,1
80,82,87,0.58,3.0,1
65,48,95,0.73,11.5,1
95,98,47,0.4,9.3,1
44,54,58,1.0,6.6,1
68,40,31,0.86,5.1,0
99,46,97,0.55,6.3,1
30,65,68,0.81,1.4,0
52,50,70,0.58,3.7,0
68,47,51,0.45,3.8,0
86,89,78,0.66,5.9,1
63,47,57,0.77,3.6,0
70,30,45,0.45,3.0,0
42,43,97,0.71,9.4,1
99,37,91,0.71,10.8,1
35,95,65,0.78,1.7,1
81,80,51,0.55,3.3,1
32,89,40,0.41,9.5,0
92,63,71,0.59,10.0,1
78,65,84,0.64,6.5,1
76,91,64,0.78,8.6,1
84,30,86,0.96,1.9,1
93,71,63,0.52,10.3,1
94,30,99,0.81,10.2,1
96,83,33,0.46,8.6,1
44,76,75,0.51,11.1,1
61,68,40,0.71,1.5,0
97,59,90,0.83,3.5,1
47,36,64,0.92,5.0,1
72,51,98,0.85,2.7,1
64,79,86,0.41,10.0,1
87,74,40,0.81,9.3,1
62,39,41,0.89,9.5,0
43,43,72,0.72,4.2,1
63,75,48,0.98,9.4,1
90,35,97,0.4,2.4,0
33,50,88,0.89,2.2,0
88,91,31,0.6,7.4,1
58,48,37,0.79,1.5,0
35,91,51,0.82,11.3,0
78,82,50,0.58,4.6,1
69,53,58,1.0,6.2,0
94,85,66,0.46,9.9,1
98,91,58,0.49,5.4,1
56,63,66,0.94,5.7,1
35,51,50,0.47,4.8,0
42,97,41,0.63,4.9,0
93,86,77,0.84,6.1,1
91,39,76,0.87,11.4,1
48,95,44,0.97,11.3,1
72,37,96,0.87,7.0,1
49,67,42,0.91,6.0,0
97,91,88,0.97,9.9,1
73,57,42,0.73,8.5,0
52,39,48,0.61,10.7,0
31,74,86,0.86,9.0,1
51,94,61,0.5,11.5,1
86,96,50,0.44,10.7,1
36,38,43,0.87,10.4,0
85,34,53,0.97,5.3,0
96,39,78,0.67,5.2,1
45,41,61,0.5,9.2,0
80,87,40,0.7,1.9,0
41,50,89,0.64,4.5,0
82,50,97,0.62,11.3,1
34,94,90,0.78,6.0,1
56,32,34,0.5,4.0,0
41,98,65,0.63,6.2,1
46,93,93,0.92,4.2,1
35,78,61,0.84,9.5,1
34,46,95,0.43,10.4,0
86,61,39,0.71,9.6,1
57,99,50,0.45,2.6,0
98,50,69,0.97,4.7,1
88,36,71,0.55,3.4,1
62,36,75,0.96,1.5,0
91,56,70,0.9,9.1,1
79,37,33,0.73,5.7,1
48,57,43,0.6,4.0,0
98,95,43,0.91,4.4,1
95,76,82,0.49,2.5,0
76,39,58,0.51,10.1,0
68,62,52,0.53,2.6,0
97,36,60,0.76,4.7,1
62,32,90,0.59,1.1,0
42,43,52,0.99,5.8,0
83,73,37,0.52,4.9,1
36,75,45,0.88,8.9,1
43,90,55,0.46,8.9,1
48,65,58,0.61,1.4,0
83,42,35,0.55,2.3,0
49,45,66,0.99,11.0,0
58,34,62,0.42,9.7,0
53,67,75,0.83,5.3,1
92,79,90,0.55,2.8,0
86,67,70,0.89,3.9,1
